D R	Matching T	Matching S	MILP T		MILP Soln
4 35 	 0.000000	0.000000	91.725628	2118.800000
4 36 	 0.000000	0.000000	94.867164	2116.000000
4 37 	 0.000000	0.000000	913.955681	2310.000000
4 38 	 0.000000	0.000000	52.243659	2307.600000
4 39 	 0.000000	0.000000	85.673644	2412.200000
4 40 	 0.000000	0.000000	75.869519	2512.600000
4 41 	 0.000000	0.000000	74.417298	2705.600000
4 42 	 0.000000	0.000000	28.010379	2814.800000
4 43 	 0.000000	0.000000	97.530439	2802.800000
4 44 	 0.000000	0.000000	146.899002	2900.200000
4 45 	 0.000000	0.000000	184.736385	3008.000000
4 46 	 0.000000	0.000000	1083.538106	3206.400000
4 47 	 0.000000	0.000000	379.179414	3200.600000
4 48 	 0.000000	0.000000	1415.594205	3301.600000
4 49 	 0.000000	0.000000	2089.950330	3409.400000
4 32 	 0.000000	0.000000	15.307372	2101.000000
4 33 	 0.000000	0.000000	234.405871	1812.800000
4 34 	 0.000000	0.000000	371.103916	1912.400000
4 35 	 0.000000	0.000000	293.741581	2013.600000
4 36 	 0.000000	0.000000	31.711715	2114.600000



COMPARING PRUNING AND NON-PRUNING
D R	 Prun Time	Prn Soln	reg Time	reg Soln
4 32 	 6.824428	1811.200000	16.430059	1811.000000
4 32 	 8.411551	1810.200000	62.275968	1810.200000
4 33 	 6.052435	2008.400000	11.986169	1916.200000
4 32 	 4.001159	2207.800000	5.602919	2207.800000
4 33 	 3.789819	2407.600000	4.635669	2407.600000
4 34 	 4.500252	2411.000000	9.320793	2411.000000
4 35 	 3.880281	2793.000000	5.291763	2793.000000
4 36 	 4.750263	2607.000000	6.306558	2607.000000
4 37 	 5.287930	2705.800000	13.880058	2705.800000
4 38 	 7.007730	2705.200000	27.332121	2705.200000
4 39 	 5.401893	2916.000000	8.211270	2916.000000
5 32 	 4.656854	2141.200000	6.477453	2141.200000
5 33 	 5.063552	2229.200000	7.545144	2229.200000
5 34 	 7.005733	2142.400000	13.287123	2142.400000
5 35 	 6.261719	2429.200000	10.313500	2429.200000
5 36 	 7.181921	2533.200000	12.855314	2533.200000
5 37 	 4.121322	2637.200000	6.836586	2637.200000
5 38 	 7.039356	2245.200000	11.914835	2245.200000
5 39 	 7.136356	2428.000000	13.495339	2428.000000
5 40 	 8.103853	2836.200000	50.192724	2836.200000
5 41 	 6.566499	2935.600000	31.225018	2935.600000
5 42 	 11.153591	2940.000000	52.799966	2940.000000
5 43 	 5.576889	3323.600000	9.907208	3323.600000
5 44 	 7.196694	3325.000000	12.977276	3325.000000
5 45 	 8.984972	3237.800000	38.275483	3237.800000
5 46 	 23.377765	3238.400000	48.377846	3238.400000
5 47 	 10.075955	3342.600000	18.130874	3342.600000
5 48 	 15.072522	3534.800000	91.317435	3534.800000
5 49 	 10.427262	3725.400000	16.487357	3725.400000
5 32 	 4.867073	2123.200000	7.377561	2123.200000
5 33 	 5.037867	2413.400000	7.309006	2413.400000
5 34 	 4.660428	2332.000000	6.730682	2332.000000
5 35 	 6.374339	2331.800000	11.448364	2331.800000
5 36 	 6.059227	2630.400000	7.875080	2630.400000
5 37 	 5.563206	2926.600000	10.532124	2926.600000
5 38 	 6.184990	2842.800000	12.599450	2842.800000
5 39 	 7.336697	2527.400000	10.918833	2527.400000
5 40 	 48.235351	2734.600000	315.429795	2734.600000
5 41 	 11.919483	2735.800000	56.432565	2735.800000
5 42 	 16.034028	2939.400000	70.784996	2939.400000
5 43 	 6.420422	3230.800000	8.809417	3230.800000
5 44 	 14.456510	2934.600000	139.116827	2934.600000
5 45 	 10.019951	3136.000000	26.946479	3136.000000
5 46 	 9.143733	3430.600000	22.577050	3430.600000
5 47 	 10.268596	3626.200000	27.016715	3626.200000
5 48 	 20.419771	3238.400000	99.261628	3238.400000
5 49 	 11.855051	3636.200000	21.653036	3636.200000
6 32 	 5.674722	1959.400000	9.555666	1959.400000
6 33 	 5.275190	2149.400000	8.625618	2149.400000
6 34 	 8.643491	2154.800000	67.575689	2154.800000
6 35 	 7.433610	2264.800000	34.152164	2264.800000
6 36 	 10.384417	2357.000000	66.797812	2357.000000
6 37 	 18.034982	2264.600000	99.347884	2264.600000
6 38 	 5.193362	2645.000000	8.441057	2645.000000
6 39 	 6.932248	2661.200000	13.472231	2661.200000
6 40 	 10.775407	2667.800000	26.017672	2667.800000
6 41 	 7.895647	2651.000000	27.258417	2651.000000
6 42 	 6.116350	3157.000000	11.152769	3157.000000
6 43 	 12.153783	2953.000000	28.947648	2953.000000
6 44 	 15.714295	2861.800000	82.840429	2861.800000
6 45 	 9.033684	3264.200000	15.652223	3264.200000
6 46 	 28.630328	3059.200000	139.048627	3059.200000
6 47 	 14.270381	3059.400000	115.189933	3059.400000
6 48 	 87.171439	3168.000000	317.301623	3168.000000
6 49 	 128.163275	3265.400000	498.203984	3265.400000
6 32 	 4.238045	2157.800000	6.147939	2157.800000
6 33 	 7.150567	2259.200000	13.284017	2259.200000
6 34 	 5.826203	2165.200000	13.647544	2165.200000
6 35 	 6.439202	2647.400000	9.494468	2647.400000
6 36 	 17.120739	2250.800000	119.615234	2250.800000
6 37 	 8.102792	2360.200000	29.265234	2360.200000
6 38 	 6.861274	2453.000000	11.475346	2453.000000
6 39 	 32.407873	2460.400000	123.208347	2460.400000
6 40 	 8.861477	2561.200000	18.569754	2561.200000
6 41 	 9.994544	2664.800000	49.152241	2664.800000
6 42 	 11.798711	2555.000000	26.256595	2555.000000
6 43 	 7.616133	2956.000000	13.048956	2956.000000
6 44 	 20.721684	2852.000000	82.885960	2852.000000
6 45 	 18.080777	3054.600000	68.183372	3054.600000
6 46 	 13.816861	3053.000000	52.671198	3053.000000
6 47 	 39.423500	2875.600000	292.388419	2875.600000
6 48 	 123.945575	3064.600000	3841.937088	3064.600000
6 49 	 11.793941	3557.600000	44.999899	3557.600000
7 32 	 3.555368	2274.000000	5.000450	2274.000000
7 33 	 5.236740	2274.200000	8.377054	2274.200000
7 34 	 7.664228	1995.000000	13.491562	1995.000000
7 35 	 11.669494	2084.600000	24.929770	2084.600000
7 36 	 9.438272	2185.000000	14.873941	2185.000000
7 37 	 8.527550	2390.600000	21.779009	2390.600000
7 38 	 12.181865	2378.200000	57.291120	2378.200000
7 39 	 10.445158	2592.200000	19.684322	2592.200000
7 40 	 10.723690	2192.800000	64.037271	2192.800000
7 41 	 18.759865	2581.600000	129.952232	2581.600000
7 42 	 8.441758	2690.000000	30.085055	2690.000000
7 43 	 13.135503	2697.800000	79.540910	2697.800000
7 44 	 9.329520	2601.600000	16.364596	2601.600000
7 45 	 23.894845	2790.800000	121.432628	2790.800000
7 46 	 11.638322	3096.400000	19.091176	3096.400000
7 47 	 48.757020	3276.600000	138.064880	3276.600000
7 48 	 33.600398	2993.200000	177.603998	2993.200000
7 49 	 14.705330	3096.600000	129.417737	3096.600000
7 32 	 12.807477	1787.800000	113.086602	1787.800000
7 33 	 7.874371	1792.400000	24.563965	1792.400000
7 34 	 7.715137	1986.400000	14.186574	1986.400000
7 35 	 11.030789	1984.200000	116.547674	1984.200000
7 36 	 8.029956	2375.800000	13.398795	2375.800000
7 37 	 6.733664	2559.400000	11.262142	2559.400000
7 38 	 8.039299	2469.200000	11.867231	2469.200000
7 39 	 11.236322	2466.600000	105.835186	2466.600000
7 40 	 13.278780	2389.600000	34.946870	2389.600000
7 41 	 9.613772	2584.200000	16.889611	2584.200000
7 42 	 12.347253	2586.800000	26.358668	2586.800000
7 43 	 10.753936	2886.600000	20.403522	2886.600000
7 44 	 32.214927	2780.000000	366.924930	2780.000000
7 45 	 26.175813	2682.800000	152.360176	2682.800000
7 46 	 14.187403	2988.800000	42.280068	2988.800000
7 47 	 16.323210	2696.800000	73.007595	2696.800000
7 48 	 29.035923	3083.400000	112.764271	3083.400000
7 49 	 115.744851	2894.400000	653.736601	2894.400000
8 32 	 10.250088	1811.400000	69.408255	1811.400000
8 33 	 8.749653	1907.800000	15.224602	1907.800000
8 34 	 9.026158	1905.800000	67.246220	1905.800000
8 35 	 9.378831	2184.800000	15.634056	2184.800000
8 36 	 12.707774	2098.400000	50.913913	2098.400000
8 37 	 9.290427	2106.800000	31.928630	2106.800000
8 38 	 12.238007	2118.800000	72.221970	2118.800000
8 39 	 8.190020	2799.200000	13.297159	2799.200000
8 40 	 15.142101	2502.000000	112.589476	2502.000000
8 41 	 21.720802	2307.000000	154.842509	2307.000000
8 42 	 8.109813	2887.400000	12.930488	2887.400000
